"rank","order","family","available_names","species_count","living_species","wild_species","extinct_species","domestic_species","genera","living_genera","extinct_genera","families","living_families","extinct_families","new_since_MSW3","new_descriptions_since_MSW3","split_since_MSW3","IUCN_LC_species","IUCN_NT_species","IUCN_VU_species","IUCN_EN_species","IUCN_CR_species","IUCN_EW_species","IUCN_EX_species","IUCN_DD_species","IUCN_NE_species","IUCN_threatened_total","IUCN_understudied_total"
"order","Perissodactyla",NA,400,18,18,16,0,2,6,6,0,3,3,0,1,0,1,1,3,3,5,4,0,0,0,2,12,2
"order","Pholidota",NA,40,8,8,8,0,0,3,3,0,1,1,0,0,0,0,0,0,2,3,3,0,0,0,0,8,0
"order","Pilosa",NA,101,17,17,17,0,0,5,5,0,4,4,0,7,3,4,7,0,2,0,1,0,0,0,7,3,7
"order","Primates",NA,1892,522,518,518,4,0,84,80,4,19,16,3,161,82,79,114,41,109,140,86,0,2,13,17,335,30
"order","Proboscidea",NA,49,3,3,3,0,0,2,2,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0
"order","Rodentia",NA,10647,2747,2693,2692,54,1,536,522,14,35,35,0,595,309,286,1466,102,122,135,56,0,37,371,458,313,829
"order","Scandentia",NA,118,23,23,23,0,0,4,4,0,2,2,0,4,0,4,16,0,1,1,0,0,0,5,0,2,5
"order","Sirenia",NA,41,5,4,4,1,0,3,2,1,2,2,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0
"order","Tubulidentata",NA,20,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"global","Global",NA,28285,6759,6646,6629,113,17,1353,1328,25,167,160,7,1579,805,774,3281,370,540,526,228,1,80,773,960,1295,1733
