"rank","order","family","available_names","species_count","living_species","wild_species","extinct_species","domestic_species","genera","living_genera","extinct_genera","families","living_families","extinct_families","new_since_MSW3","new_descriptions_since_MSW3","split_since_MSW3","IUCN_LC_species","IUCN_NT_species","IUCN_VU_species","IUCN_EN_species","IUCN_CR_species","IUCN_EW_species","IUCN_EX_species","IUCN_DD_species","IUCN_NE_species","IUCN_threatened_total","IUCN_understudied_total"
"family","Chiroptera","Natalidae",21,11,11,11,0,0,3,3,0,NA,NA,NA,3,0,3,4,2,2,0,1,0,0,1,1,3,2
"family","Chiroptera","Noctilionidae",20,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Chiroptera","Nycteridae",49,14,14,14,0,0,1,1,0,NA,NA,NA,0,0,0,10,1,1,0,0,0,0,2,0,1,2
"family","Chiroptera","Phyllostomidae",457,231,230,230,1,0,61,61,0,NA,NA,NA,76,44,32,140,14,6,6,1,0,0,35,29,13,64
"family","Chiroptera","Pteropodidae",513,202,196,196,6,0,46,46,0,NA,NA,NA,20,12,8,89,17,36,28,8,0,6,13,5,72,18
"family","Chiroptera","Rhinolophidae",300,114,114,114,0,0,1,1,0,NA,NA,NA,38,16,22,50,8,5,12,1,0,0,13,25,18,38
"family","Chiroptera","Rhinonycteridae",14,9,9,9,0,0,4,4,0,NA,NA,NA,3,2,1,6,0,1,0,0,0,0,2,0,1,2
"family","Chiroptera","Rhinopomatidae",19,6,6,6,0,0,1,1,0,NA,NA,NA,2,1,1,4,0,0,1,0,0,0,1,0,1,1
"family","Chiroptera","Thyropteridae",12,5,5,5,0,0,1,1,0,NA,NA,NA,2,2,0,2,0,0,0,0,0,0,3,0,0,3
"family","Chiroptera","Vespertilionidae",1279,535,533,533,2,0,60,60,0,NA,NA,NA,173,108,65,266,31,30,16,9,0,3,96,84,55,180
"family","Cingulata","Chlamyphoridae",75,14,14,14,0,0,8,8,0,NA,NA,NA,1,0,1,5,3,2,0,0,0,0,3,1,2,4
"family","Cingulata","Dasypodidae",46,11,11,11,0,0,1,1,0,NA,NA,NA,5,1,4,3,1,0,0,0,0,0,2,5,0,7
"family","Dasyuromorphia","Dasyuridae",171,87,83,83,4,0,17,17,0,NA,NA,NA,22,10,12,46,11,5,4,0,0,0,3,18,9,21
"family","Dasyuromorphia","Myrmecobiidae",2,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"family","Dasyuromorphia","Thylacinidae",9,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"family","Dermoptera","Cynocephalidae",25,2,2,2,0,0,2,2,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Didelphimorphia","Didelphidae",353,126,126,126,0,0,18,18,0,NA,NA,NA,50,24,26,63,3,6,0,2,0,0,13,39,8,52
"family","Diprotodontia","Acrobatidae",9,3,3,3,0,0,2,2,0,NA,NA,NA,1,0,1,2,0,0,0,0,0,0,0,1,0,1
"family","Diprotodontia","Burramyidae",11,5,5,5,0,0,2,2,0,NA,NA,NA,0,0,0,4,0,0,0,1,0,0,0,0,1,0
"family","Diprotodontia","Hypsiprymnodontidae",2,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Diprotodontia","Macropodidae",214,67,63,63,4,0,13,13,0,NA,NA,NA,3,0,3,25,10,15,8,4,0,4,0,1,27,1
"family","Diprotodontia","Petauridae",39,15,15,15,0,0,3,3,0,NA,NA,NA,4,0,4,6,1,0,2,2,0,0,0,4,4,4
"family","Diprotodontia","Phalangeridae",87,31,31,31,0,0,6,6,0,NA,NA,NA,5,1,4,14,3,3,2,4,0,0,0,5,9,5
"family","Diprotodontia","Phascolarctidae",6,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"family","Diprotodontia","Potoroidae",41,12,8,8,4,0,4,3,1,NA,NA,NA,2,0,2,1,3,1,1,2,0,4,0,0,4,0
"family","Diprotodontia","Pseudocheiridae",70,20,20,20,0,0,5,5,0,NA,NA,NA,3,0,3,9,5,3,0,1,0,0,0,2,4,2
"family","Diprotodontia","Tarsipedidae",2,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Diprotodontia","Vombatidae",25,3,3,3,0,0,2,2,0,NA,NA,NA,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"family","Eulipotyphla","Erinaceidae",160,34,34,34,0,0,11,11,0,NA,NA,NA,10,5,5,20,0,1,2,0,0,0,1,10,3,11
"family","Eulipotyphla","Nesophontidae",10,8,0,0,8,0,1,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,0,6,0,2,0,2
"family","Eulipotyphla","Solenodontidae",6,4,2,2,2,0,2,2,0,NA,NA,NA,0,0,0,1,0,0,1,0,0,1,0,1,1,1
"family","Eulipotyphla","Soricidae",1260,488,488,488,0,0,28,28,0,NA,NA,NA,129,93,36,231,11,23,34,11,0,0,99,79,68,178
"family","Eulipotyphla","Talpidae",204,65,65,65,0,0,19,19,0,NA,NA,NA,26,13,13,34,1,1,2,1,0,0,5,21,4,26
"family","Hyracoidea","Procaviidae",141,6,6,6,0,0,3,3,0,NA,NA,NA,2,1,1,4,1,0,0,0,0,0,0,1,0,1
"family","Lagomorpha","Leporidae",521,77,77,77,0,0,10,10,0,NA,NA,NA,20,2,18,39,2,6,9,1,0,0,5,15,16,20
"family","Lagomorpha","Ochotonidae",160,34,34,34,0,0,1,1,0,NA,NA,NA,9,3,6,23,0,0,4,0,0,0,1,6,4,7
"family","Lagomorpha","Prolagidae",4,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"family","Macroscelidea","Macroscelididae",110,20,20,20,0,0,6,6,0,NA,NA,NA,5,3,2,13,0,1,1,0,0,0,4,1,2,5
"family","Microbiotheria","Microbiotheriidae",4,2,2,2,0,0,1,1,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,1,0,1
"family","Monotremata","Ornithorhynchidae",11,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"family","Monotremata","Tachyglossidae",34,4,4,4,0,0,2,2,0,NA,NA,NA,0,0,0,1,0,1,0,2,0,0,0,0,3,0
"family","Notoryctemorphia","Notoryctidae",2,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Paucituberculata","Caenolestidae",13,7,7,7,0,0,3,3,0,NA,NA,NA,1,1,0,2,2,3,0,0,0,0,0,0,3,0
"family","Peramelemorphia","Chaeropodidae",4,2,0,0,2,0,1,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"family","Peramelemorphia","Peramelidae",59,27,22,22,5,0,6,6,0,NA,NA,NA,9,2,7,9,0,5,3,0,0,1,1,8,8,9
"family","Peramelemorphia","Thylacomyidae",9,2,1,1,1,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"family","Perissodactyla","Equidae",284,9,9,7,0,2,1,1,0,NA,NA,NA,1,0,1,1,2,1,2,1,0,0,0,2,4,2
"family","Perissodactyla","Rhinocerotidae",77,5,5,5,0,0,4,4,0,NA,NA,NA,0,0,0,0,1,1,0,3,0,0,0,0,4,0
"family","Perissodactyla","Tapiridae",39,4,4,4,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,3,0,0,0,0,0,4,0
"family","Pholidota","Manidae",40,8,8,8,0,0,3,3,0,NA,NA,NA,0,0,0,0,0,2,3,3,0,0,0,0,8,0
"family","Pilosa","Bradypodidae",44,5,5,5,0,0,1,1,0,NA,NA,NA,1,0,1,2,0,1,0,1,0,0,0,1,2,1
"family","Pilosa","Choloepodidae",16,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Pilosa","Cyclopedidae",14,7,7,7,0,0,1,1,0,NA,NA,NA,6,3,3,1,0,0,0,0,0,0,0,6,0,6
"family","Pilosa","Myrmecophagidae",27,3,3,3,0,0,2,2,0,NA,NA,NA,0,0,0,2,0,1,0,0,0,0,0,0,1,0
"family","Primates","Aotidae",30,11,11,11,0,0,1,1,0,NA,NA,NA,4,1,3,4,1,4,1,0,0,0,1,0,5,1
"family","Primates","Archaeolemuridae",5,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"family","Primates","Atelidae",117,23,23,23,0,0,4,4,0,NA,NA,NA,3,0,3,4,2,6,7,4,0,0,0,0,17,0
"family","Primates","Callitrichidae",124,54,54,54,0,0,6,6,0,NA,NA,NA,13,4,9,26,7,10,6,3,0,0,0,2,19,2
"family","Primates","Cebidae",114,19,19,19,0,0,3,3,0,NA,NA,NA,6,0,6,7,3,2,4,2,0,0,0,1,8,1
"family","Primates","Cercopithecidae",791,165,165,165,0,0,23,23,0,NA,NA,NA,37,8,29,25,17,40,48,26,0,0,2,7,114,9
"family","Primates","Cheirogaleidae",62,41,41,41,0,0,5,5,0,NA,NA,NA,21,21,0,2,1,10,20,5,0,0,2,1,35,3
"family","Primates","Daubentoniidae",4,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"family","Primates","Galagidae",68,19,19,19,0,0,6,6,0,NA,NA,NA,3,2,1,12,4,1,1,0,0,0,1,0,2,1
"family","Primates","Hominidae",180,8,8,8,0,0,4,4,0,NA,NA,NA,1,1,0,0,0,0,2,5,0,0,0,1,7,1
"family","Primates","Hylobatidae",54,20,20,20,0,0,4,4,0,NA,NA,NA,6,2,4,0,0,1,14,5,0,0,0,0,20,0
"family","Primates","Indriidae",39,19,19,19,0,0,3,3,0,NA,NA,NA,8,6,2,0,0,4,4,11,0,0,0,0,19,0
"family","Primates","Lemuridae",63,21,21,21,0,0,5,5,0,NA,NA,NA,3,0,3,0,0,8,5,8,0,0,0,0,21,0
"family","Primates","Lepilemuridae",34,25,25,25,0,0,1,1,0,NA,NA,NA,17,17,0,0,0,2,15,8,0,0,0,0,25,0
"family","Primates","Lorisidae",54,17,17,17,0,0,5,5,0,NA,NA,NA,9,1,8,3,3,3,5,2,0,0,0,1,10,1
"family","Primates","Megaladapidae",3,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"family","Primates","Palaeopropithecidae",3,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"family","Primates","Pitheciidae",109,62,61,61,1,0,7,6,1,NA,NA,NA,23,13,10,31,2,11,3,6,0,1,6,2,20,8
"family","Primates","Tarsiidae",31,14,14,14,0,0,3,3,0,NA,NA,NA,7,6,1,0,1,7,4,1,0,0,1,0,12,1
"family","Proboscidea","Elephantidae",49,3,3,3,0,0,2,2,0,NA,NA,NA,0,0,0,0,0,0,2,1,0,0,0,0,3,0
"family","Rodentia","Abrocomidae",13,10,10,10,0,0,2,2,0,NA,NA,NA,0,0,0,3,0,0,0,1,0,0,6,0,1,6
"family","Rodentia","Anomaluridae",37,6,6,6,0,0,2,2,0,NA,NA,NA,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Aplodontiidae",14,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Bathyergidae",86,26,26,26,0,0,5,5,0,NA,NA,NA,11,4,7,14,0,1,1,0,0,0,5,5,2,10
"family","Rodentia","Calomyscidae",16,12,12,12,0,0,1,1,0,NA,NA,NA,4,4,0,6,0,0,0,0,0,0,2,4,0,6
"family","Rodentia","Castoridae",51,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Caviidae",92,24,24,23,0,1,6,6,0,NA,NA,NA,6,2,4,13,1,0,0,1,0,0,5,4,1,9
