"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1784,2,7,7,100,95.1257709841781,4,57.1428571428571,48.5559332939604,0,0,0.953506301957629,0,0,4.87422901582194
1785,10,70,56,80,93.7924376508447,43,61.4285714285714,52.6987904368175,0,0,0.953506301957629,14,20,6.20756234915527
1786,1,5,4,80,91.9439528023599,3,60,53.0927298307569,0,0,0.801991150442478,1,20,8.05604719764012
1787,1,4,3,75,91.8333333333333,2,50,54.2874200962436,0,0,0.625,1,25,8.16666666666667
1788,12,101,39,38.6138613861386,85.6947194719472,28,27.7227722772277,51.1773443827899,2,1.98019801980198,0.823019801980198,62,61.3861386138614,14.3052805280528
1789,1,19,18,94.7368421052632,86.8350703491402,16,84.2105263157895,54.1817303477022,0,0,0.198019801980198,1,5.26315789473684,13.1649296508598
1790,2,9,6,66.6666666666667,83.5017370158068,4,44.4444444444444,54.010790176762,0,0,0.198019801980198,3,33.3333333333333,16.4982629841932
1791,3,8,8,100,83.5017370158068,5,62.5,51.6893616053335,0,0,0.198019801980198,0,0,16.4982629841932
1792,29,216,82,37.962962962963,77.2980333121031,57,26.3888888888889,49.8838060497779,16,7.40740740740741,0.938760542720939,134,62.037037037037,22.7019666878969
1793,1,19,19,100,77.2980333121031,17,89.4736842105263,56.3311744708305,0,0,0.938760542720939,0,0,22.7019666878969
1794,1,11,11,100,77.2980333121031,9,81.8181818181818,58.798706938363,0,0,0.938760542720939,0,0,22.7019666878969
1795,3,35,35,100,79.2980333121031,32,91.4285714285714,61.798706938363,0,0,0.938760542720939,0,0,20.7019666878969
1796,5,24,18,75,78.7980333121031,12,50,60.798706938363,0,0,0.938760542720939,6,25,21.2019666878969
1797,11,50,46,92,80.4980333121031,34,68,62.598706938363,0,0,0.938760542720939,4,8,19.5019666878969
1798,0,12,12,100,86.6366471734893,12,100,69.8264297106402,0,0,0.740740740740741,0,0,13.3633528265107
1799,7,56,51,91.0714285714286,86.2701058201058,40,71.4285714285714,68.5482342219184,0,0,0.740740740740741,5,8.92857142857143,13.7298941798942
1800,10,64,64,100,89.6034391534392,45,70.3125,71.135039777474,0,0,0.740740740740741,0,0,10.3965608465608
1801,3,65,17,26.1538461538462,82.2188237688238,14,21.5384615384615,67.0388859313201,0,0,0.740740740740741,48,73.8461538461539,17.7811762311762
1802,1,29,29,100,88.4225274725275,25,86.2068965517241,73.0206866976037,0,0,0,0,0,11.5774725274725
1803,17,84,84,100,88.4225274725275,59,70.2380952380952,71.0971278003606,0,0,0,0,0,11.5774725274725
1804,17,69,65,94.2028985507246,87.8428173275999,45,65.2173913043478,69.4370487489772,0,0,0,4,5.79710144927536,12.1571826724001
1805,2,15,15,100,87.8428173275999,12,80,68.29419160612,0,0,0,0,0,12.1571826724001
1806,9,19,19,100,90.3428173275999,8,42.1052631578947,67.5047179219095,0,0,0,0,0,9.65718267240007
1807,8,17,17,100,91.1428173275999,7,41.1764705882353,64.822364980733,0,0,0,0,0,8.85718267240006
1808,1,27,27,100,91.1428173275999,24,88.8888888888889,63.7112538696219,0,0,0,0,0,8.85718267240006
1809,3,37,35,94.5945945945946,91.4951339299165,20,54.0540540540541,61.9738021321702,0,0,0,2,5.40540540540541,8.50486607008346
1810,12,37,28,75.6756756756757,89.0627014974841,13,35.1351351351351,58.4560656456837,0,0,0,9,24.3243243243243,10.9372985025159
1811,33,97,92,94.8453608247423,95.9318529645737,59,60.8247422680412,62.3846937186416,2,2.06185567010309,0.206185567010309,4,4.12371134020619,3.96505425192113
1812,10,40,38,95,95.4318529645737,23,57.5,59.5140040634692,0,0,0.206185567010309,2,5,4.46505425192113
1813,6,13,12,92.3076923076923,94.6626221953429,6,46.1538461538462,57.1055791550443,0,0,0.206185567010309,1,7.69230769230769,5.2342850211519
1814,10,70,69,98.5714285714286,95.0994751974133,47,67.1428571428571,57.2981257388953,0,0,0.206185567010309,1,1.42857142857143,4.7974320190815
