"museum_label","museum_name","museum_country","museum_subregion","museum_city","museum_city_latitude","museum_city_longitude","total_type_specimens","holotype_count","syntype_count","lectotype_count","neotype_count","nonexistent_count"
"SIGMR","Shenyang Institute of Geology and Mineral Resources","China","NA","Shenyang","41.8","123.45",NA,NA,NA,NA,NA,NA
"SiM","Sirindhorn Museum","Thailand","NA","Kalasin","16.43","103.5",NA,NA,NA,NA,NA,NA
"SIU","Southern Illinois University","United States","Illinois","Carbondale","NA","NA",NA,NA,NA,NA,NA,NA
"SIZ","Shaanxi Institute of Zoology","China","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"SLCP","Slender Loris Conservation Project","Sri Lanka","NA","NA","NA","NA",2,2,0,0,0,0
"SLP","Société Laonnoise de Paléontologie","France","NA","Paris","48.86","2.34",NA,NA,NA,NA,NA,NA
"SMA","Sauriermuseum Aathal","Switzerland","NA","Aathal","NA","NA",NA,NA,NA,NA,NA,NA
"SMAC","Sapporo Museum Activity Center","Japan","NA","Sapporo","43.06","141.34",NA,NA,NA,NA,NA,NA
"SMBU","Strecker Museum, Baylor University","United States","Texas","Waco","31.57","-97.18",NA,NA,NA,NA,NA,NA
"SME","Stadtmuseum Esslingen","Germany","Baden-Württemberg","Esslingen","48.74","9.32",NA,NA,NA,NA,NA,NA
"SMF","Senckenberg Museum Frankfurt","Germany","Hesse","Frankfurt","50.110556000000003","8.6822219999999994",210,132,8,70,0,0
"SMFr","Sauriermuseum Frick","Switzerland","NA","Frick","47.5","8.02",NA,NA,NA,NA,NA,NA
"SMK","Sarawak Museum","Malaysia","Sarawak","Kuching","1.55","110.34",2,2,0,0,0,0
"SML","Schwegler Museum","Germany","Bavaria","Langenaltheim","NA","NA",NA,NA,NA,NA,NA,NA
"SMM","Science Museum of Minnesota","United States","Minnesota","Saint Paul","44.95","-93.1",NA,NA,NA,NA,NA,NA
"SMMP","Sanya Museum of Marine Paleontology","China","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"SMN","State Museum, Namibia","Namibia","NA","Windhoek","-22.56","17.09",NA,NA,NA,NA,NA,NA
"SMNH","Saskatchewan Museum of Natural History","Canada","NA","Saskatoon","52.139721999999999","-106.686111",NA,NA,NA,NA,NA,NA
"SMNK","Staatliches Museum für Naturkunde","Germany","Baden-Württemberg","Karlsruhe","49","8.4",1,0,1,0,0,0
"SMNS","Staatliches Museum für Naturkunde Stuttgart","Germany","Baden-Württemberg","Stuttgart","48.79","9.19",62,40,13,8,1,0
"SMP","State Museum of Pennsylvania","United States","Pennsylvania","Harrisburg","40.28","-76.88",1,1,0,0,0,0
"SMPKK","Sirindhorn Museum (Phu Kum Khao)","Thailand","NA","Sahatsakhan","NA","NA",NA,NA,NA,NA,NA,NA
"SMPR","Ростовский областной краеведческий музей","Russia","NA","Rostov on the Don","NA","NA",NA,NA,NA,NA,NA,NA
"SMU","Southern Methodist University","United States","Texas","Dallas","32.79","-96.77",2,2,0,0,0,0
"SMZ","Prozritelev and Prave Stavropol State Historical–Cultural and Nature–Landscape Museum","Russia","NA","Stavropol","45.04","41.97",NA,NA,NA,NA,NA,NA
"SNGM","Servicio Nacional de Geología y Minería","Chile","NA","Santiago","-33.46","-70.64",NA,NA,NA,NA,NA,NA
"SNGP","Shenglingshan National Geological Park","China","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"SNHM","Shanghai Natural History Museum","China","NA","Shanghai","31.23","121.47",24,8,0,16,0,0
"SNMBR","Staatliches Naturhistorisches Museum Braunschweig","Germany","Lower Saxony","Braunschweig","NA","NA",2,0,2,0,0,0
"SNMMNH","Slovak National Museum — Museum of Natural History","Slovakia","NA","Bratislava","48.16","17.13",NA,NA,NA,NA,NA,NA
"SNR","Rhoads collection","United States","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"SNU","Seoul National University","South Korea","NA","Seoul","NA","NA",NA,NA,NA,NA,NA,NA
"Solé collection","Collection of Jesus Solé","Spain","NA","Tona","41.85","2.23",NA,NA,NA,NA,NA,NA
"Sopron","Franz Liszt Landesmuseum","Hungary","NA","Sopron","47.68","16.579999999999998",NA,NA,NA,NA,NA,NA
"SPIA","Shaanxi Provincial Institute of Archaeology","China","NA","Shenheyuan","NA","NA",NA,NA,NA,NA,NA,NA
"SQU","Sultan Qaboos University","Oman","NA","Muscat","23.61","58.54",NA,NA,NA,NA,NA,NA
"SSG","Shinshu University","Japan","NA","Matsumoto","36.24","137.97",NA,NA,NA,NA,NA,NA
"SSME","Sendai Science Museum","Japan","NA","Miyagi","NA","NA",NA,NA,NA,NA,NA,NA
"SSUC","Colección de Flora y Fauna ""Profesor Patricio Sánchez Reyes"", Departamento de Ecología, Pontificia Universidad Católica de Chile","Chile","NA","Santiago","-33.46","-70.64",2,2,0,0,0,0
"SSWG","Sektion Geologie, Ernst-Moritz-Arndt Universität","Germany","Mecklenburg-Vorpommern","Greifswald","54.09","13.39",NA,NA,NA,NA,NA,NA
"Stillwater","Oklahoma State University","United States","Oklahoma","Stillwater","36.130000000000003","-97.07",1,1,0,0,0,0
"STM","San Telmo Museoa","Spain","NA","San Sebastián","43.32","-1.98",NA,NA,NA,NA,NA,NA
"Stubbe collection","Collection of Michael Stubbe","Germany","NA","NA","NA","NA",1,1,0,0,0,0
"STUS","Universidad de Salamanca","Spain","NA","Salamanca","40.97","-5.67",NA,NA,NA,NA,NA,NA
"SUM","Shijiazhuang University Museum","China","NA","Shijiazhuang","38.049999999999997","114.48",NA,NA,NA,NA,NA,NA
"SUUG","Central Geological Institute in Prague","Czech Republic","NA","Prague","50.08","14.43",NA,NA,NA,NA,NA,NA
"SVB","Svalbard Museum","Norway","NA","Longyearbyen","NA","NA",NA,NA,NA,NA,NA,NA
"SWB","Shanwang Administration Office for Key National Nature Conservation","China","NA","Shanwang","NA","NA",NA,NA,NA,NA,NA,NA
"SXMG","Shanxi Museum of Geology","China","NA","Taiyuan","37.869999999999997","112.55",NA,NA,NA,NA,NA,NA
"SYSU","School of Life Sciences, Sun Yat-sen University","China","NA","Guangzhou","23.12","113.25",NA,NA,NA,NA,NA,NA
"SZC","Leland Stanford Junior University Zool. Coll.","United States","California","Stanford","NA","NA",NA,NA,NA,NA,NA,NA
