"id","link","label","name","comment","city","location_link","location","state","country","hesperomys_num_type_specimens","museum_city_latitude","museum_city_longitude"
1566,"http://hesperomys.com/c/1566","UNCW","University of North Carolina at Wilmington","NA","Wilmington","http://hesperomys.com/r/459","North Carolina","North Carolina","United States",0,"NA","NA"
572,"http://hesperomys.com/c/572","UNEFM","Universidad Nacional Experimental Francisco de Miranda","NA","Coro","http://hesperomys.com/r/4329","Falcón","Falcón","Venezuela",5,"11.42","-69.680000000000007"
802,"http://hesperomys.com/c/802","UNESP","Universidade Estadual Paulista Júlio de Mesquita Filho","NA","Rio Claro","http://hesperomys.com/r/392","São Paulo","São Paulo","Brazil",2,"-22.41","-47.56"
363,"http://hesperomys.com/c/363","UNHM","University of New Hampshire Museum","NA","NA","http://hesperomys.com/r/3587","Strafford County, New Hampshire","New Hampshire","United States",1,"NA","NA"
1219,"http://hesperomys.com/c/1219","UNI","Universidad Nacional de Ingeniería","NA","Lima","http://hesperomys.com/r/138","Peru","NA","Peru",1,"-12.07","-77.05"
17,"http://hesperomys.com/c/17","UNIOL","AG Zoosystematik & Morphologie, Carl von Ossietzky University of Oldenburg","According to {Pliciloricus diva nov.pdf}, now cared for by DZMB (Deutsches Zentrum für Marine Biodiversitätsforschung, Forschungsinstitut Senckenberg, Wilhelmshaven)","Oldenburg","http://hesperomys.com/r/782","Lower Saxony","Lower Saxony","Germany",8,"53.15","8.2100000000000009"
1530,"http://hesperomys.com/c/1530","UNIPAMPA","Universidade Federal do Pampa","NA","São Gabriel","http://hesperomys.com/r/388","Rio Grande do Sul","Rio Grande do Sul","Brazil",1,"-30.32","-54.32"
285,"http://hesperomys.com/c/285","UNISC","Centro de Ensino e Pesquisas Arqueológicas da Universidade de Santa Cruz do Sul","NA","Santa Cruz do Sul","http://hesperomys.com/r/388","Rio Grande do Sul","Rio Grande do Sul","Brazil",1,"-29.71","-52.44"
573,"http://hesperomys.com/c/573","UNL","Universidade Nova de Lisboa","NA","Lisbon","http://hesperomys.com/r/141","Portugal","NA","Portugal",13,"38.72","-9.14"
1145,"http://hesperomys.com/c/1145","UNLV","University of Nevada, Las Vegas","NA","Las Vegas","http://hesperomys.com/r/1615","Clark County, Nevada","Nevada","United States",1,"36.21","-115.22"
103,"http://hesperomys.com/c/103","UNM","University of Nottingham Museum","NA","Nottingham","http://hesperomys.com/r/4225","Nottinghamshire","NA","United Kingdom",1,"52.97","-1.18"
726,"http://hesperomys.com/c/726","UNMA","University of New Mexico","NA","Albuquerque","http://hesperomys.com/r/1247","Bernalillo County, New Mexico","New Mexico","United States",1,"35.119999999999997","-106.62"
660,"http://hesperomys.com/c/660","UNPSJB","Universidad Nacional de la Patagonia 'San Juan Bosco'","NA","Comodoro Rivadavia","http://hesperomys.com/r/348","Chubut","NA","Argentina",12,"-45.86","-67.489999999999995"
205,"http://hesperomys.com/c/205","UNSM","University of Nebraska State Museum","NA","Lincoln","http://hesperomys.com/r/874","Lancaster County, Nebraska","Nebraska","United States",196,"40.809167000000002","-96.678055999999998"
743,"http://hesperomys.com/c/743","UNSW","Palaeontology Laboratory, University of New South Wales","NA","NA","http://hesperomys.com/r/254","New South Wales","New South Wales","Australia",1,"NA","NA"
381,"http://hesperomys.com/c/381","untraced","untraced","Fictitious collection indicating that a competent source has stated that the present location of the type specimen is not known. (This is different from ""lost"", which means that the specimen is positively known to be lost.)","NA","http://hesperomys.com/r/625","Earth","NA","NA",442,"NA","NA"
502,"http://hesperomys.com/c/502","UOMNH","University of Oregon","NA","Eugene","http://hesperomys.com/r/1597","Lane County, Oregon","Oregon","United States",58,"44.052222","-123.0925"
79,"http://hesperomys.com/c/79","UON","Université d'Oran","{Bunohyrax matsumotoi nov.pdf} did not specify what UON stands for, but one of the coauthors is at the Université d'Oran.","Oran","http://hesperomys.com/r/3","Algeria","NA","Algeria",22,"35.696944000000002","-0.63305599999999995"
463,"http://hesperomys.com/c/463","UPGM","Universitäts-Institut für Paläontologie, München","Maybe the same as BSPG?","München","http://hesperomys.com/r/776","Bavaria","Bavaria","Germany",1,"NA","NA"
737,"http://hesperomys.com/c/737","UPM","Undory Palaeontological Museum","NA","NA","http://hesperomys.com/r/765","Ulyanovsk Oblast","NA","Russia",8,"NA","NA"
123,"http://hesperomys.com/c/123","UPNG","University of Papua New Guinea","NA","Port Moresby","http://hesperomys.com/r/4155","National Capital District","NA","Papua New Guinea",2,"-9.48","147.18"
498,"http://hesperomys.com/c/498","UPPM","University of the Punjab Palaeontological Museum","NA","Lahore","http://hesperomys.com/r/336","Punjab (Pakistan)","NA","Pakistan",18,"31.56","74.349999999999994"
1055,"http://hesperomys.com/c/1055","UPRMP","University of Puerto Rico Department of Geology Paleontology Collection","NA","Mayagüez","http://hesperomys.com/r/199","Puerto Rico","NA","Puerto Rico",1,"18.22","-67.150000000000006"
694,"http://hesperomys.com/c/694","UPSE","Universidad Estatal Peninsula de Santa Elena","NA","Santa Elena","http://hesperomys.com/r/51","Ecuador","NA","Ecuador",1,"-2.2000000000000002","-80.87"
1236,"http://hesperomys.com/c/1236","UPST","Université Paul Sabatier à Toulouse","NA","Toulouse","http://hesperomys.com/r/1980","Haute-Garonne","NA","France",2,"43.62","1.45"
